# Measured axial transfer accelerances (m/(s^2N)) for axial wavenumber estimation at respective locations (0.15 m spacing)
# frequency, at pos 1 (1), at pos 1 (2), at pos 1 (3), at pos 1 (4), at pos 2 (1), at pos 2 (2), at pos 2 (3), at pos 2 (4), at pos 3 (1), at pos 3 (2), at pos 3 (3), at pos 3 (4), at pos 4 (1), at pos 4 (2), at pos 4 (3), at pos 4 (4), at pos 5 (1), at pos 5 (2), at pos 5 (3), at pos 5 (4)
0.000000e+00+0.000000e+00j,-1.343603e+01+0.000000e+00j,-1.841347e+02+0.000000e+00j,-1.812907e+02+0.000000e+00j,1.809160e+03-0.000000e+00j,-3.716884e+02+0.000000e+00j,-6.060849e+02+0.000000e+00j,3.601559e+03-0.000000e+00j,2.713379e+02-0.000000e+00j,-3.246180e+02+0.000000e+00j,-8.708191e+02+0.000000e+00j,-2.315743e+02+0.000000e+00j,4.592854e+03-0.000000e+00j,-4.077359e+01+0.000000e+00j,-4.191021e+03+0.000000e+00j,1.833375e+04-0.000000e+00j,7.571250e+02-0.000000e+00j,4.070804e+01-0.000000e+00j,-4.527949e+03+0.000000e+00j,-6.191845e+03+0.000000e+00j,1.341787e+04-0.000000e+00j
1.562500e+00+0.000000e+00j,7.333623e+00+7.924666e+02j,2.579276e+01-2.056122e+01j,3.636621e-01+6.409100e+00j,3.271131e+02-8.348357e+02j,-2.918737e+02+8.544163e+02j,4.089323e+01+1.011793e+02j,-9.569171e-01-1.932048e+03j,7.646430e+01+9.763342e+01j,-5.780582e+01+3.887698e+01j,5.083426e+01-1.908542e+02j,1.403948e+02-3.107212e+01j,1.873152e+01-8.021309e+02j,2.222221e+02-1.075728e+02j,-1.488163e+02-2.722931e+02j,-1.688248e+02-1.492455e+03j,-2.241899e+01-3.312966e+00j,-1.402762e+01-4.654530e+02j,-3.397931e+02-1.056162e+03j,-5.034123e+02-1.388209e+03j,-8.168017e+01-5.121336e+02j
3.125000e+00+0.000000e+00j,3.304558e+01+1.106502e+02j,-1.697787e+00-1.387214e+01j,-3.272576e+01+7.784894e+00j,-3.213067e+02-2.028227e+02j,-3.676521e+01+1.771413e+02j,-2.011807e+01+7.515162e+01j,-5.277855e+02-4.181564e+02j,-2.587792e+01+1.758686e+01j,-4.691404e+01-8.016935e+00j,-5.465731e+01+2.460094e-01j,-2.016181e+01-1.521590e+00j,-2.731544e+02-1.725245e+02j,1.207117e+02+7.822409e+00j,-3.832236e+01-7.490156e+01j,-4.334759e+02-3.490390e+02j,-2.641714e+01-5.511449e+01j,-2.551231e+01-9.639895e+01j,-8.539271e+01-4.393164e+01j,-2.019888e+00-3.939440e+02j,-1.167419e+02-1.127793e+02j
4.687500e+00+0.000000e+00j,-1.371188e+01+1.649642e+01j,-1.497552e+01+2.416569e+00j,-2.168381e+01+4.331747e+00j,-7.025231e+00-8.396324e+01j,-2.964715e+01+5.857616e+00j,-3.590030e+01+1.975068e+01j,-1.404874e+01-1.585963e+02j,-1.432851e+01-7.865702e+00j,-7.217807e+00-7.911380e+00j,-1.304096e+01-5.380071e+00j,-3.089388e+01-2.196112e+00j,-1.822296e+01-6.463499e+01j,-1.711005e+01+2.768418e+01j,-1.832190e+01-9.897636e+00j,-2.512912e+01-1.441967e+02j,-3.381823e+01+2.713733e+00j,-4.904680e-01-1.619936e+01j,-3.797024e+01-2.118275e+01j,3.962824e+01-2.195717e+01j,-2.985319e+01-4.831694e+01j
6.250000e+00+0.000000e+00j,-2.157629e+01-1.969849e-01j,-1.999979e+01-1.127216e+00j,-2.555687e+01+1.304438e+00j,-2.357251e+01-1.631096e+00j,-2.164470e+01-2.419458e+00j,-2.115522e+01-1.977085e+00j,-3.944972e+01-1.470066e+00j,-1.754543e+01-1.146706e+00j,-2.297129e+01-3.662730e-01j,-2.292237e+01+1.365765e+00j,-2.550196e+01+4.158739e-01j,-2.888731e+01-1.510988e+00j,-1.846525e+01+1.297505e+00j,-2.357087e+01+5.024789e-01j,-4.256213e+01-6.294851e+00j,-2.343951e+01-2.449547e+00j,-2.716554e+01-2.075867e+00j,-2.206373e+01+7.019058e-02j,-2.686302e+01-9.917491e-02j,-2.481025e+01-6.564666e-01j
7.812500e+00+0.000000e+00j,-1.515553e+01-8.772320e+00j,-1.886806e+01+1.323536e+00j,-2.599961e+01-1.339312e+00j,-4.468998e+01+2.600711e+00j,-1.995386e+01-4.598059e+00j,-1.405038e+01+2.218038e+00j,-7.856872e+01+9.549807e+00j,-2.883498e+01-5.830757e+00j,-3.676507e+01+2.516564e+01j,-1.963213e+01+1.404152e+00j,-2.826837e+01+2.437078e+00j,-4.241727e+01+2.016563e-01j,-8.023966e+00-2.344346e+00j,-2.302225e+01+7.440772e-01j,-7.779771e+01+7.959333e+00j,-2.386726e+01+1.657710e-01j,-1.882691e+01-2.532290e+00j,-2.503523e+01+3.247829e+00j,-1.543093e+00+2.760978e+00j,-3.872368e+01+5.682904e+00j
9.375000e+00+0.000000e+00j,-3.722621e+01-4.910077e+00j,-2.427771e+01-4.170513e+00j,-2.252023e+01+7.613194e+00j,-4.452169e+01+2.373944e+01j,-3.080544e+01+2.733519e-01j,-2.549555e+01+1.223368e+00j,-5.393998e+01+6.433424e+01j,-2.183752e+01-3.927298e+01j,-3.027358e+01-6.861829e+00j,-3.042757e+01+4.831135e+00j,-2.181463e+01+3.745964e+00j,-3.886771e+01+2.901295e+01j,-1.525759e+01-1.488844e+01j,-2.575065e+01-1.751913e+00j,-5.981294e+01+5.804048e+01j,-2.320703e+01+2.501166e+00j,-3.901530e+01+8.206527e+00j,-2.419922e+01-3.958858e+00j,-3.986412e+01+2.022477e+01j,-3.570162e+01+2.009081e+01j
1.093750e+01+0.000000e+00j,-3.072300e+01-9.602639e+00j,-2.192705e+01+2.357578e+00j,-1.759599e+01-3.202601e+00j,-3.224064e+01-3.570843e+01j,-2.804434e+01+7.867569e-02j,-1.697173e+01+4.332619e+00j,-3.116656e+01-8.559629e+01j,-2.960123e+01-1.970503e+00j,-1.775310e+01-3.251767e+00j,-2.569968e+01-8.534910e+00j,-3.237105e+01-2.123698e+00j,-2.827300e+01-3.957714e+01j,-2.319382e+01+2.309052e+01j,-2.967331e+01-1.040155e+00j,-2.796735e+01-7.521989e+01j,-3.069861e+01+6.393620e+00j,-6.806218e+00+2.347821e+00j,-3.076265e+01+4.094529e+00j,6.852699e+00-1.665463e+01j,-2.032506e+01-2.280150e+01j
1.250000e+01+0.000000e+00j,-2.545644e+01-6.792250e+00j,-3.599842e+01-1.633699e+00j,-2.401825e+01+8.624399e+00j,-6.879272e+00+4.197603e+01j,-2.552430e+01-4.998448e+00j,-2.300522e+01-3.146513e+00j,1.858299e+01+7.887233e+01j,-2.947082e+01+1.458946e+00j,-2.997910e+01-8.877629e+00j,-1.824299e+01+4.059385e+00j,-1.784659e+01-2.568796e+00j,-1.244652e+01+3.007313e+01j,-3.977350e+01-2.172510e+01j,-2.640338e+01+3.312162e+00j,1.339927e+01+6.730288e+01j,-2.565676e+01-8.968453e-02j,-3.608168e+01+1.413241e+00j,-8.962661e+00-8.254644e+00j,-4.803432e+01+2.688782e+01j,-1.338237e+01+1.488340e+01j
1.406250e+01+0.000000e+00j,-2.848286e+01-1.330651e+00j,-1.772367e+01-1.170339e+00j,-2.658189e+01-2.268771e+00j,-7.923672e+01+5.935603e+00j,-2.601092e+01-3.693759e+00j,-2.182921e+01+4.057068e+00j,-1.079545e+02+1.233076e+01j,-1.397707e+01+3.940884e+00j,-2.829222e+01-8.356124e+00j,-3.010897e+01-1.556870e+00j,-2.005280e+01+5.775867e+00j,-4.962363e+01-2.015936e+00j,1.103061e-01-9.269091e+00j,-1.483216e+01-4.303594e+00j,-1.041381e+02-6.837355e+00j,-1.744146e+01+7.681370e-01j,-2.960600e+01-1.692131e+01j,-1.077944e+01+9.124196e+00j,-5.026546e+01-1.542684e+01j,-5.323438e+01+6.838568e+00j
1.562500e+01+0.000000e+00j,-1.081541e+01-1.917808e+00j,-1.905584e+01+9.221165e-01j,-2.573498e+01-7.658204e-01j,2.489174e+01+1.331032e+01j,-3.214675e+01-2.438836e+00j,-2.315920e+01-2.541243e+00j,6.990672e+01+2.646470e+01j,-1.750768e+01-1.396834e+01j,-2.418736e+01+4.837963e+00j,-1.328075e+01+1.023875e+01j,-2.099864e+01+7.830953e+00j,9.293797e+00+1.380319e+01j,-4.941827e+01-8.825887e+00j,-1.540163e+01+1.801093e+00j,5.621569e+01+1.989895e+01j,-3.627995e+01+1.082674e+01j,-3.743865e+01-1.288056e+01j,-5.236252e+00-9.086544e+00j,-4.929754e+01-1.452160e+00j,1.185104e+00+8.837797e+00j
