# Measured axial transfer accelerances (m/(s^2N)) for axial wavenumber estimation at respective locations (0.3 m spacing) 
# frequency, at 0.15 m (1), at 0.15 m (2), at 0.15 m (3), at 0.15 m (4), at 0.45 m (1), at 0.45 m (2), at 0.45 m (3), at 0.45 m (4), at 0.75 m (1), at 0.75 m (2), at 0.75 m (3), at 0.75 m (4), at 1.05 m (1), at 1.05 m (2), at 1.05 m (3), at 1.05 m (4), at 1.35 m (1), at 1.35 m (2), at 1.35 m (3), at 1.35 m (4)
0.000000e+00+0.000000e+00j,4.622820e+02-0.000000e+00j,5.595541e+02-0.000000e+00j,-1.282550e+01+0.000000e+00j,3.123319e+04-0.000000e+00j,-1.531592e+03+0.000000e+00j,-9.041521e+02+0.000000e+00j,-1.263004e+04+0.000000e+00j,-3.736425e+02+0.000000e+00j,7.259002e+02-0.000000e+00j,-4.626717e+02+0.000000e+00j,2.128795e+02-0.000000e+00j,-1.090046e+03+0.000000e+00j,2.027805e+03-0.000000e+00j,7.191984e+02-0.000000e+00j,-9.208002e+03+0.000000e+00j,-2.514438e+03+0.000000e+00j,2.556232e+03-0.000000e+00j,7.200637e+02-0.000000e+00j,3.473533e+02-0.000000e+00j,-2.896962e+03+0.000000e+00j
1.562500e+00+0.000000e+00j,1.164274e+01-1.812321e+01j,-3.967443e-01-1.230005e+01j,-7.480277e+01+5.551540e+01j,-5.931610e+01-4.156627e+02j,1.960079e+01-2.519589e+01j,-8.880313e+01-1.876968e+02j,3.962061e+02+1.590474e+03j,2.230070e+01-8.673660e+00j,-2.627461e+01+3.709961e+02j,4.530660e+01+2.045547e+02j,-9.666304e+01-5.464245e+01j,-3.035235e+02+3.752396e+02j,1.365574e+02+6.111432e+02j,6.772205e+01-9.692305e+02j,-1.796732e+02-6.509694e+02j,-2.021196e+02+1.212963e-01j,1.343805e+02+3.058087e+02j,8.387262e+01+1.187820e+02j,-9.291372e+00-2.100232e+01j,4.363593e+01+8.043753e+01j
3.125000e+00+0.000000e+00j,-2.573375e+01-4.200615e+00j,1.068262e+01+9.708984e+00j,-5.037911e+00-1.980574e+01j,-1.403117e+02-1.546581e+02j,-3.302092e+01-7.049500e+00j,-3.238168e+01-4.665077e+01j,-6.611951e+01+4.300678e+02j,-9.102501e+01+1.816151e+00j,2.586362e+00+9.547259e+01j,2.149058e+01+5.341739e+01j,-3.102238e+01-2.103789e+01j,-1.415531e+01+3.806086e+01j,-6.036770e+01+1.017771e+02j,-1.022470e+02-2.168245e+02j,-2.720914e+02-1.550738e+02j,-9.264935e+01-1.395690e+01j,-4.108265e+01+7.847960e+01j,-2.493848e+01+1.203461e+01j,-2.196166e+01-8.820791e+00j,-2.091661e+01+3.222388e+01j
4.687500e+00+0.000000e+00j,-2.862635e+01-6.224808e-01j,-1.773348e+01+2.516755e+00j,-2.060919e+01-3.020790e+00j,-3.762780e+01-1.828020e+01j,-2.408420e+01-3.687545e+00j,-2.128304e+01-3.609776e+00j,-1.032687e+02+2.759751e+01j,-2.582696e+01+2.994967e+00j,-2.379627e+01+6.609294e+00j,-2.432758e+01+1.583824e+01j,-2.390773e+01-7.416148e+00j,-2.751916e+01+2.345654e+01j,-2.386508e+01-4.119575e+00j,-2.116230e+01-3.846463e+01j,-1.729592e+01-7.659730e+01j,-5.342911e+01+1.827924e+00j,-4.478510e+01+1.623996e-01j,-2.775995e+01-1.757391e+00j,-2.319981e+01-2.592398e+00j,-2.460775e+01+2.534947e+00j
6.250000e+00+0.000000e+00j,-2.362743e+01+1.909632e-01j,-1.894138e+01-4.389294e-02j,-3.293098e+01-5.763821e+00j,-3.267547e+01-5.276629e+00j,-3.123946e+01+1.547426e+01j,-2.398677e+01+1.265750e+00j,-1.296243e+01-6.152408e+00j,-2.210488e+01-2.041268e+00j,-2.314135e+01-1.036846e+00j,-2.131329e+01-5.642664e-01j,-2.559230e+01-5.247454e+00j,-2.554379e+01-3.270355e-01j,-2.473844e+01-1.663106e+00j,-2.497146e+01+4.548716e+00j,-2.963761e+01-1.044922e+00j,-2.462097e+01-1.013645e+00j,-2.218106e+01-1.471538e+00j,-2.370755e+01-1.450239e-01j,-2.415983e+01-1.005418e+00j,-2.569778e+01-1.552100e+00j
7.812500e+00+0.000000e+00j,-1.959438e+01-1.142961e+00j,-2.363697e+01-4.246183e+00j,-3.060131e+01-6.151632e+00j,-4.069169e+01-7.997230e-01j,-1.512269e+01+1.763741e+00j,-2.446072e+01-4.817413e+00j,-6.126817e+01-3.037401e+00j,-5.879814e+00+1.186879e+00j,-2.011889e+01+6.278948e-01j,-1.814761e+01-9.307928e-01j,-2.644017e+01-4.484070e-01j,-1.852657e+01-3.627709e+00j,-2.344155e+01-7.213310e-01j,-2.558113e+01-2.373549e+00j,-5.519830e+01+3.310173e+00j,-1.360723e+01+9.236659e-01j,-3.072464e+01-1.544033e+00j,-2.923548e+01+1.176915e-01j,-2.252528e+01-4.844790e-01j,-2.191329e+01+4.001633e+00j
9.375000e+00+0.000000e+00j,-2.999314e+01+7.649510e-01j,-1.715188e+01+7.466254e+00j,-1.526086e+01-2.810021e+01j,-2.396538e+01+1.416675e+01j,-2.969512e+01+4.717255e-01j,-2.778993e+01+1.270166e+00j,5.856008e+00-2.647724e+01j,-2.395952e+01+7.194737e+00j,-2.814300e+01-4.981632e+00j,-2.146959e+01-7.051462e+00j,-1.872553e+01+1.176629e+00j,-1.694652e+01+6.346797e-01j,-2.890775e+01+1.777654e+00j,-3.263391e+01+2.510623e+01j,-3.701812e+01+2.728873e+01j,-1.293902e+01-6.967943e+00j,-1.450797e+01-1.444801e+01j,-2.661201e+01-1.397720e+01j,-2.516128e+01+1.464356e-01j,-2.555810e+01-6.374610e+00j
1.093750e+01+0.000000e+00j,-2.702055e+01+1.094926e+00j,-2.220068e+01-1.767243e+00j,-3.139617e+01-5.209080e+00j,-1.819176e+01-1.370480e+01j,-2.362416e+01+3.048603e-01j,-2.500334e+01+2.002227e-01j,-6.394533e+01+8.924819e+00j,-2.732007e+01+7.816318e+00j,-2.719361e+01-6.835761e-01j,-2.280095e+01+6.946426e+00j,-2.109403e+01-1.230914e+00j,-1.745249e+01+4.957635e+00j,-2.544091e+01-7.121710e+00j,-2.486626e+01-1.026022e+01j,-2.378482e+01-3.755939e+01j,-3.489490e+01-7.862677e-01j,-3.547337e+01+2.492553e+00j,-2.766197e+01+9.338616e-01j,-2.384260e+01-2.165778e+00j,-2.942680e+01+1.975763e+00j
1.250000e+01+0.000000e+00j,-2.813305e+01+1.028075e+00j,-2.150189e+01-4.158616e+00j,-3.282060e+01+5.672398e+00j,-7.469866e-01+2.386958e+01j,-3.099445e+01+4.637469e+00j,-2.193114e+01-3.625951e-01j,1.114883e+01-2.679706e+01j,-3.013295e+01-4.775347e-01j,-2.740660e+01-4.035605e+00j,-2.675087e+01-8.880368e+00j,-1.908433e+01+2.146728e+00j,-3.020013e+01+5.784902e+00j,-2.110603e+01+5.976457e+00j,-2.015377e+01+1.380618e+01j,-3.436427e+00+3.490935e+01j,-2.199900e+01-2.024671e+00j,-2.012107e+01-8.747191e+00j,-2.242866e+01-4.012576e+00j,-2.679161e+01+1.216228e+00j,-2.478245e+01-3.177977e+00j
1.406250e+01+0.000000e+00j,-2.538177e+01+2.612321e+00j,-2.769140e+01-1.730573e+00j,-2.675646e+01+3.320366e+00j,-5.360489e+01+1.587953e+01j,-2.608342e+01+1.591210e+00j,-2.943212e+01-2.122785e-01j,1.723937e+01+2.448565e+01j,-2.820705e+01+7.477687e+00j,-2.549269e+01+3.015734e+00j,-1.272716e+01+2.268962e+00j,-2.837425e+01+6.809706e+00j,-3.731356e+00-5.315384e+00j,-2.943525e+01+3.219921e+00j,-4.039925e+01-9.494564e-01j,-6.056215e+01+4.637360e+00j,-1.925466e+01-8.356955e+00j,-1.381681e+01+7.409198e+00j,-1.729892e+01-2.049308e+00j,-2.565880e+01+1.469248e+00j,-2.404019e+01+5.253300e+00j
1.562500e+01+0.000000e+00j,-2.620933e+01-5.434579e-01j,-2.862540e+01-7.211007e-01j,-4.456829e+01-5.527965e+00j,5.466030e+00+1.602493e+01j,-2.882381e+01+2.364065e+00j,-2.570595e+01-2.618399e+00j,2.300604e+01-1.251024e+01j,-1.841401e+01-1.089459e+01j,-2.559326e+01+6.298462e-01j,-3.150710e+01-2.020446e+00j,-1.990440e+01+6.923955e-02j,-9.518751e+00+2.887368e+00j,-1.574081e+01+2.086919e+00j,-1.322172e+01-2.448198e-01j,2.056163e+01+1.422194e+01j,2.426858e+00+2.509124e+00j,-1.520881e+01-6.323740e+00j,-2.408325e+01-5.164043e-01j,-2.679107e+01-1.079114e-01j,-1.658582e+01-4.830986e+00j
1.718750e+01+0.000000e+00j,-2.795154e+01+3.477499e+00j,-4.286874e+01+9.344748e+00j,-1.766521e+01+2.521047e+01j,-3.593641e+01-4.382467e+01j,-2.940636e+01+2.331905e+00j,-2.506017e+01-2.216307e+00j,2.872951e+01+3.299612e+01j,-3.605320e+01+9.743229e+00j,-2.646102e+01+4.109000e+00j,-1.567744e+01+1.070051e+01j,-2.974281e+01-7.258756e-01j,-2.212546e+01+4.119466e+01j,-2.632639e+01+3.139917e-01j,-3.012205e+01-1.746353e+01j,-4.440204e+01-4.835333e+01j,-7.341309e+00+2.066356e+01j,-1.128215e+01+4.327332e+00j,-2.343338e+01+3.989887e-01j,-2.524413e+01+3.531870e-01j,-1.861079e+01+6.726840e+00j
1.875000e+01+0.000000e+00j,-1.740861e+01+3.025301e+00j,-2.801137e+01+8.050593e+00j,1.091895e+01+2.698089e+00j,4.240923e+01-9.813190e+01j,-2.304433e+01+1.554172e+01j,-1.991966e+01+1.337294e+01j,-1.103757e+02-6.882733e+01j,2.786651e+01+8.649568e+00j,-1.321897e+01+9.822633e+00j,-3.272780e+01+8.817915e+00j,-1.949382e+01-1.327258e+01j,-3.620936e+01+2.271306e+01j,-6.752377e-01+2.608601e+01j,-4.358701e+00-4.144240e+01j,5.322198e+01-6.999285e+01j,-6.282696e+01-7.821415e+00j,-4.301550e+01-1.587258e+01j,-2.993522e+01-1.351097e+01j,-1.467422e+01-3.851382e+00j,-3.591284e+01+5.709027e+00j
2.031250e+01+0.000000e+00j,-1.751927e+01-8.481887e-01j,-1.264920e+01+2.175617e+00j,-3.139072e+01-1.311418e+01j,-3.127489e+01+4.934619e+00j,-2.316820e+01-6.946249e-01j,-2.176462e+01+2.563182e+00j,1.343926e+00-2.342248e+01j,-1.332680e+01-1.193435e+01j,-2.067310e+01+1.392324e+00j,-1.641698e+01+3.882711e+00j,-2.411963e+01+3.159704e+00j,-2.149617e+01+1.016789e+01j,-2.208376e+01+2.651771e+00j,-2.607824e+01-4.681743e+00j,-4.361018e+01-1.761479e+01j,-2.619543e+01+9.929782e+00j,-8.947331e+00-2.894032e+00j,-1.931408e+01-1.714330e+00j,-2.256043e+01-5.541306e-01j,-2.212492e+01+1.242606e+00j
2.187500e+01+0.000000e+00j,-2.110507e+01-7.552445e-02j,-1.942255e+01-1.837204e-01j,-2.832179e+01-3.541981e+00j,-2.365836e+01+2.080623e+00j,-2.142258e+01+6.019068e-01j,-2.104021e+01-2.315212e-01j,-2.268757e+01+4.672831e+00j,-2.274821e+01-2.346295e+00j,-2.207899e+01+4.491292e-01j,-2.057743e+01-4.789069e-01j,-2.092506e+01+9.441078e-01j,-2.468365e+01-9.307901e-01j,-2.217138e+01+6.903610e-01j,-2.277165e+01-1.812580e-01j,-2.802663e+01-6.272803e-01j,-2.275162e+01+7.727361e-01j,-2.133809e+01+1.454299e+00j,-2.260445e+01+5.965460e-01j,-2.195076e+01-2.289634e-01j,-2.321889e+01+3.883392e-01j
2.343750e+01+0.000000e+00j,-2.182744e+01-3.823719e-01j,-2.029345e+01-2.959428e-01j,-2.626084e+01+7.504669e-01j,-1.872144e+01+5.237233e+00j,-2.145828e+01-1.198511e+00j,-2.176435e+01-1.112867e+00j,-1.810182e+01+5.745997e+00j,-2.545876e+01+1.083194e+00j,-2.158651e+01-6.554105e-01j,-2.200473e+01-1.925616e+00j,-2.125633e+01+1.175761e-01j,-1.966047e+01-2.892982e+00j,-2.049772e+01+1.210660e+00j,-2.065238e+01+4.132275e+00j,-2.036145e+01+7.076890e+00j,-2.016849e+01-1.987128e+00j,-2.050766e+01+1.163833e+00j,-2.206591e+01-2.925265e-01j,-2.158651e+01+1.117493e+00j,-2.308180e+01+2.146782e-01j
2.500000e+01+0.000000e+00j,-2.148554e+01-1.267367e-02j,-1.714112e+01-3.889919e+00j,-2.638621e+01+3.946812e+00j,-1.800071e+01+5.002181e-01j,-2.100927e+01-1.730737e+00j,-1.978993e+01-3.685664e+00j,-3.513024e+01+6.737429e+00j,-2.302975e+01+5.567988e-01j,-2.241231e+01-1.787479e+00j,-2.274794e+01-2.531731e+00j,-1.984389e+01-1.374813e+00j,-2.864706e+01-4.491346e+00j,-1.930358e+01-3.155411e+00j,-1.557933e+01-2.702654e+00j,-8.143325e+00-2.284578e+00j,-2.019274e+01+3.136333e+00j,-2.694832e+01+4.669819e-01j,-1.915464e+01-8.220849e-01j,-1.947460e+01-2.931165e-01j,-2.231310e+01-2.991724e+00j
2.656250e+01+0.000000e+00j,-2.233082e+01-3.836393e-01j,-2.400231e+01-5.170475e-01j,-2.217779e+01+1.047136e+00j,-2.086837e+01-2.274917e+00j,-2.268512e+01-1.048185e+00j,-2.326863e+01-1.978748e+00j,-2.194518e+01+8.462619e+00j,-2.474525e+01-1.789769e+00j,-2.303261e+01-1.358269e+00j,-2.349865e+01+3.204223e-01j,-2.352250e+01-6.261383e-03j,-2.374966e+01+1.975246e+00j,-2.170629e+01-1.532696e+00j,-2.243479e+01-2.953527e+00j,-2.304201e+01-8.278586e+00j,-2.469442e+01+4.204185e+00j,-2.353068e+01+2.915399e+00j,-2.474484e+01+8.714350e-01j,-2.196943e+01-3.380311e+00j,-2.427403e+01+1.454259e+00j
2.812500e+01+0.000000e+00j,-2.291147e+01-1.616965e+00j,-2.374625e+01+6.537234e-02j,-1.860738e+01+8.071497e-01j,-2.450664e+01+1.542125e+00j,-2.222385e+01+1.888592e-01j,-2.180822e+01-2.185224e-01j,-3.161053e+01-6.011096e+00j,-1.765554e+01-8.484150e-01j,-2.320894e+01-4.351561e-01j,-2.365182e+01-1.934951e+00j,-2.339686e+01+1.033667e+00j,-2.528869e+01-5.505031e+00j,-2.370074e+01+3.346107e+00j,-2.145992e+01+1.090186e+00j,-2.032261e+01+8.721613e+00j,-2.194327e+01+3.352675e-01j,-2.425727e+01-6.193902e-01j,-2.474893e+01+5.824761e-01j,-2.327217e+01-2.740674e+00j,-2.491995e+01-3.545579e-01j
2.968750e+01+0.000000e+00j,-2.355480e+01+3.857978e-01j,-2.336879e+01+2.461879e-01j,-2.071711e+01-5.569977e-01j,-1.573290e+01-2.530246e+00j,-2.268280e+01-1.276170e+00j,-2.296570e+01-3.681399e-01j,-3.319058e+01+3.350222e+00j,-2.775504e+01-3.312367e-01j,-2.297851e+01-8.972200e-01j,-2.345246e+01+1.049472e+00j,-2.294839e+01-1.578986e+00j,-1.948578e+01-2.121177e+00j,-2.117580e+01-1.987960e+00j,-2.211197e+01+2.833364e-01j,-1.803832e+01-8.497204e+00j,-2.826483e+01-2.635119e+00j,-2.546435e+01+1.422549e+00j,-2.175058e+01+4.590442e-01j,-2.317242e+01+3.617134e-01j,-2.464959e+01+6.665791e-01j
3.125000e+01+0.000000e+00j,-2.286363e+01+1.841619e-01j,-2.493902e+01-6.629148e+00j,-2.198292e+01+7.905698e-01j,-3.023297e+01+5.344737e+00j,-2.304419e+01-9.161874e-01j,-2.519835e+01+3.648177e-01j,-1.617306e+01+8.049667e+00j,-2.386481e+01-4.499891e-01j,-2.303261e+01-1.124735e+00j,-2.263347e+01-2.929026e+00j,-2.225410e+01-5.951860e-01j,-2.319041e+01-5.840296e+00j,-2.321753e+01+9.858799e-01j,-2.281553e+01+3.350127e+00j,-2.526226e+01+9.716043e+00j,-2.288489e+01-1.251031e+00j,-2.127609e+01+4.682492e-01j,-2.219809e+01+1.553231e+00j,-2.604254e+01-8.715999e-01j,-2.246695e+01+2.981776e-02j
