# Measured flexural accelerances (m/(s^2N)) at four locations along the axis, measured at two points across the diameter of the beam
# to demonstrate that the response of the system does not follow the fundamental beam theories 
# at larger diameters and/or high frequencies 
# frequency, at 0.3 m (1), at 0.3 m (2), at 0.8 m (1), at 0.8 m (2), at 1.4 m (1), at 1.4 m (2), at 2.0 m (1), at 2.0 m (2)
0.000000e+00+0.000000e+00j,-1.213300e+00+1.485864e-16j,-5.170800e-01+6.332404e-17j,-4.716200e-01+5.775679e-17j,-6.023800e-02+7.377027e-18j,-8.020600e-01+9.822402e-17j,-8.976800e-01+1.099341e-16j,-2.615100e+00+3.202574e-16j,1.374000e+00+0.000000e+00j
7.812500e-01+0.000000e+00j,4.555996e-01-1.088837e-01j,3.135053e-01+4.299618e-02j,4.977449e-01-1.840128e-01j,2.670263e-01-8.026922e-02j,-1.112731e-01-4.315037e-01j,3.730947e-02-9.470590e-02j,1.197141e+00+1.423666e+00j,2.248006e-01-3.112469e-01j
1.562500e+00+0.000000e+00j,3.268383e-01-1.109912e-01j,6.965177e-02-2.180770e-01j,3.640963e-01-7.690635e-02j,3.343081e-01-7.686158e-02j,3.700791e-01-1.773042e-01j,2.580622e-01-1.645684e-01j,3.134037e-01+1.499293e-01j,1.511299e-01-1.157441e-01j
2.343800e+00+0.000000e+00j,1.519807e-01-2.811858e-02j,1.440758e-01+5.887253e-02j,1.859283e-01+7.947012e-02j,-5.051896e-02+2.507720e-01j,7.448328e-02+1.198628e-01j,2.323279e-01+3.025824e-02j,6.855842e-02+1.216170e-01j,1.481050e-01-1.711702e-01j
3.125000e+00+0.000000e+00j,4.262712e-03+1.814421e-03j,-4.597302e-02-5.833744e-02j,-1.425738e-02+2.271060e-02j,2.587017e-03-4.037721e-02j,-2.178435e-02+4.654256e-03j,1.572975e-01+1.484112e-01j,2.242645e-02+9.382397e-02j,-1.384699e-01+4.448449e-02j
3.906300e+00+0.000000e+00j,1.346286e-02-1.749084e-04j,-5.568530e-02-3.698614e-03j,1.048201e-02+6.351135e-03j,5.345415e-03-3.068793e-02j,-1.567285e-02+1.362928e-03j,2.010098e-02+2.637494e-05j,-4.909705e-02-1.185062e-02j,-3.266823e-02+1.597132e-01j
4.687500e+00+0.000000e+00j,1.732014e-02+2.749407e-03j,-8.908494e-03-3.199286e-02j,-3.922252e-03+1.008084e-02j,2.684013e-02+1.310589e-02j,-2.930736e-02-1.035526e-02j,4.161911e-02-7.861004e-03j,-5.371231e-02+2.581536e-02j,9.409694e-02+5.609671e-03j
5.468800e+00+0.000000e+00j,1.348806e-02-4.029169e-03j,-2.541067e-02-5.735864e-03j,1.000499e-02+1.050497e-05j,4.366107e-03+1.906648e-02j,-4.007540e-02+2.345824e-03j,5.743774e-02-8.911851e-03j,-3.589124e-02+8.769253e-03j,3.289870e-02-3.142550e-02j
6.250000e+00+0.000000e+00j,1.297096e-02-7.901564e-04j,-1.474087e-02-1.129881e-02j,5.938059e-03+1.417055e-03j,-4.248413e-03+2.049191e-03j,-2.166943e-02-4.764333e-03j,3.315195e-02-1.668747e-02j,-3.022995e-02+1.688110e-02j,5.543394e-02-6.476585e-03j
7.031300e+00+0.000000e+00j,1.373095e-02-1.804422e-03j,-1.537934e-02+3.854464e-03j,7.181057e-03+3.604971e-04j,-4.586773e-03+2.511185e-03j,-2.230695e-02-2.136128e-03j,2.717044e-02-2.902243e-03j,-3.390683e-02-1.065218e-04j,4.633249e-02+2.248204e-03j
7.812500e+00+0.000000e+00j,1.356160e-02-2.553525e-04j,-1.676035e-02+2.594640e-03j,5.156355e-03-1.588020e-04j,-5.391699e-03-9.439115e-04j,-2.016762e-02-1.353674e-03j,2.368978e-02-1.346281e-03j,-3.725023e-02-1.887015e-03j,4.633617e-02-2.141620e-02j
