# Resultant (after processing) measured flexural accelerances (m/(s^2N)) for flexural wavenumber estimation at respective locations 
# frequency, at 0.25 m, at 0.325 m, at 0.4 m, at 0.475 m, at 0.55 m, at 0.9 m, at 0.975 m, at 1.05 m, at 1.125 m, at 1.2 m, at 1.575 m, at 1.645 m, at 1.65 m, at 1.685 m, at 1.725 m, at 1.765 m, at 1.8 m, at 1.805 m, at 1.875 m
0.000000e+00+0.000000e+00j,7.182312e+00+0.000000e+00j,1.436198e+01+0.000000e+00j,2.229774e+01+0.000000e+00j,7.083101e+01+0.000000e+00j,2.607443e+02+0.000000e+00j,1.537305e+02+0.000000e+00j,-1.193259e+02+0.000000e+00j,-1.925084e+02+0.000000e+00j,-2.512713e+02+0.000000e+00j,-8.355567e+01+0.000000e+00j,-4.495188e+01+0.000000e+00j,-1.203385e+02+0.000000e+00j,-7.601660e+01+0.000000e+00j,2.582106e+02+0.000000e+00j,-1.471379e+02+0.000000e+00j,-8.917371e+00+0.000000e+00j,-2.647842e+01+0.000000e+00j,-1.027824e+02+0.000000e+00j,1.099521e+02+0.000000e+00j
7.812500e-01+0.000000e+00j,3.539118e-01+1.090756e-01j,-1.676873e-01+4.494414e-01j,1.238147e-01-4.518909e-01j,2.377722e-01+5.203878e-01j,-1.530868e-01+2.665955e-01j,-1.438850e-01+1.790647e-01j,1.338741e-01-2.282966e-01j,-2.734426e-01+5.659870e-02j,-8.088953e-01+1.035271e+00j,-3.233628e-01-4.345350e-01j,4.793465e-02+1.256854e-01j,7.732180e-01-3.380855e-01j,-1.203398e-01+1.415760e-01j,-1.538775e-01-1.498981e-01j,-1.634898e-01+4.354071e-01j,-1.792653e-01-5.990896e-01j,-2.295532e-01-5.809359e-01j,6.554346e-01+2.410045e-02j,2.342210e-01-3.855508e-01j
1.562500e+00+0.000000e+00j,5.024900e-02+7.194200e-02j,-2.019379e-01-1.177750e-03j,-1.499754e-01-3.986842e-02j,-2.295067e-01+1.259403e-01j,-1.745695e-02-6.401672e-02j,-1.733893e-01-3.481625e-02j,-8.411585e-02-7.201797e-02j,-8.801599e-02+1.834720e-01j,5.090481e-02-1.969377e-01j,-6.926956e-02+3.009710e-02j,8.879290e-02-1.667756e-01j,1.832678e-01+1.494768e-01j,-8.797313e-02-8.592590e-02j,3.987544e-01-3.397420e-02j,-5.031952e-02-6.149160e-02j,3.003447e-01+1.167423e-01j,1.804435e-02+1.914789e-01j,-1.664135e-02+1.013261e-01j,2.965067e-01-1.609872e-01j
2.343750e+00+0.000000e+00j,-3.607291e-02-6.412449e-02j,1.130980e-01+1.058209e-01j,-1.516454e-01+1.104673e-01j,1.714660e-01-5.306428e-02j,-8.161443e-02-1.841942e-01j,-9.084902e-02+8.846436e-02j,8.891615e-02-1.592191e-01j,-3.178673e-02+5.989995e-02j,-1.240316e-01-1.368701e-01j,-1.703799e-01+1.637441e-01j,9.402912e-02-4.218254e-02j,-3.543207e-01+8.641045e-02j,-9.812518e-02+1.780155e-01j,-1.125598e-01+4.942498e-02j,9.573282e-02-6.045270e-02j,-2.247901e-01+1.370597e-01j,-1.035547e-01-5.972746e-02j,-1.071969e-01+9.759005e-02j,5.385445e-02+8.310996e-02j
3.125000e+00+0.000000e+00j,-9.711195e-02+1.672302e-02j,8.164489e-02-8.692185e-02j,5.410885e-03-8.573689e-02j,3.041320e-02-1.691070e-01j,-1.789118e-01+1.099269e-01j,8.772063e-02-8.093575e-02j,-8.620635e-03+1.127997e-01j,4.163215e-02+6.379180e-03j,1.796319e-01+1.008082e-01j,4.462610e-03-2.381750e-03j,-1.057160e-01+2.821630e-02j,2.658677e-01-8.332549e-02j,1.440841e-01-1.275477e-01j,2.408756e-01-9.982252e-02j,4.458756e-02-1.997720e-01j,3.937250e-04+1.709068e-01j,9.379657e-02-5.352880e-02j,-1.007690e-01-8.715487e-02j,-6.250285e-02-1.175673e-01j
3.906250e+00+0.000000e+00j,-9.834242e-02+4.125350e-04j,2.863955e-02+1.141787e-01j,6.609050e-03+1.414490e-03j,1.704547e-01+9.927792e-02j,-1.543659e-01-1.760378e-01j,-8.547955e-03+2.478932e-02j,-5.592463e-02-4.507540e-02j,-1.781916e-02+1.059937e-01j,-5.723641e-02-5.381029e-02j,1.118277e-02-2.009809e-02j,3.196578e-01-1.249567e-01j,1.000319e-01+6.166578e-02j,1.128297e-01-9.465965e-03j,1.470348e-01+9.881307e-02j,5.819171e-02+9.831075e-03j,4.106409e-02+3.937335e-02j,2.634921e-01+9.619979e-02j,1.194592e-01+1.047756e-01j,-4.287580e-02+4.255527e-02j
4.687500e+00+0.000000e+00j,-1.327078e-01+8.050491e-02j,-1.820233e-02+6.196796e-02j,-7.078379e-02+1.048828e-02j,1.589855e-02-3.524494e-02j,5.393783e-02-1.353415e-02j,-1.143578e-01+4.762929e-02j,-9.426850e-04-3.879267e-02j,8.767118e-02-5.758731e-02j,-2.024671e-01-1.534493e-01j,1.269765e-01+8.973149e-02j,1.063571e-01+1.462854e-02j,4.156424e-02+1.108887e-01j,-1.596873e-01+3.811567e-02j,1.297902e-01-1.161648e-01j,1.335629e-01+1.977430e-01j,1.434125e-01-2.036965e-03j,1.546712e-01+8.451900e-03j,4.055030e-02-1.966765e-01j,1.652733e-01+1.462953e-01j
5.468750e+00+0.000000e+00j,5.314326e-02+1.072214e-01j,-1.234257e-01-1.219359e-01j,-6.020693e-02-7.598308e-03j,-4.783225e-02+1.428372e-01j,-2.256815e-03+6.304191e-02j,-5.596592e-02+1.498050e-01j,5.270940e-03+2.023194e-01j,4.171730e-02-3.479330e-02j,4.541457e-02+6.166811e-02j,-8.801045e-03+1.063068e-01j,1.703601e-01+1.582379e-01j,2.517875e-02+9.003550e-02j,1.758369e-01-2.160744e-02j,8.855542e-02+1.822339e-01j,-2.945190e-02+1.202543e-01j,8.067531e-02+2.682792e-01j,1.026009e-01-5.516360e-03j,8.617875e-03+3.129898e-01j,2.687847e-02-8.378405e-03j
6.250000e+00+0.000000e+00j,5.275583e-02-6.389730e-03j,-8.349270e-02-7.907216e-02j,1.201937e-01-5.545995e-02j,-1.550567e-02-4.377773e-02j,-2.019699e-01+3.022200e-02j,1.805484e-01-2.970001e-02j,1.062848e-01-7.299250e-03j,2.427938e-01+3.217517e-02j,1.862456e-01+3.886480e-02j,1.443861e-01-1.605134e-01j,8.059505e-02-8.622059e-02j,2.567503e-01+6.749539e-02j,2.129152e-01-1.560318e-02j,2.897982e-01-4.168368e-02j,4.081497e-01+1.548686e-01j,2.277553e-01-1.686044e-01j,2.806219e-01-1.181446e-01j,4.327600e-01-1.564499e-01j,3.471901e-01-1.604539e-01j
7.031250e+00+0.000000e+00j,2.785200e-02-3.235000e-02j,-6.237985e-02+1.976510e-03j,-4.053425e-02-5.887504e-02j,-2.264001e-01-5.144881e-02j,-1.342500e-02+1.307087e-01j,1.464391e-01+4.564514e-02j,7.902732e-02-5.696145e-02j,2.232123e-01-1.426463e-01j,1.114419e-01-1.199235e-01j,5.604830e-02+8.302495e-02j,3.607688e-01+4.813955e-02j,2.528737e-01-1.779874e-02j,1.304745e-01-7.828535e-02j,3.797292e-01+5.376782e-02j,4.110085e-01-3.756542e-02j,2.656314e-01+2.965469e-02j,4.853584e-01+3.393390e-02j,5.659755e-01+6.884048e-02j,4.534191e-01+2.834734e-02j
7.812500e+00+0.000000e+00j,-5.817874e-02+9.718206e-03j,7.579145e-03-6.757158e-02j,-4.473370e-02-1.491543e-02j,4.376360e-02+1.186121e-01j,-5.818575e-02-1.490445e-01j,1.169430e-01+1.724870e-02j,2.645000e-02+1.061604e-01j,2.671816e-01-7.516236e-02j,2.015902e-01-1.015531e-01j,1.995375e-01+1.110854e-01j,4.121805e-01+7.556450e-04j,4.223963e-01-4.681470e-02j,4.901537e-01+1.278278e-01j,6.910156e-01-6.428902e-02j,3.864348e-01-1.274699e-01j,5.235516e-01-1.075535e-01j,4.991335e-01-2.558300e-03j,7.799129e-01-1.540147e-01j,5.129809e-01-1.949083e-02j
