# Measured input FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
0.00000e+00 6.44557e+00 -1.50307e-15
7.81250e-01 -9.91607e-01 -5.10373e+00
1.56250e+00 -9.66941e-01 -1.50854e+00
2.34380e+00 3.82225e-01 3.21694e-01
3.12500e+00 2.45531e-01 8.01444e-02
3.90630e+00 2.07909e-01 -8.88762e-03
4.68750e+00 2.00089e-01 4.26656e-03
5.46880e+00 1.96635e-01 -1.19027e-02
6.25000e+00 2.45788e-01 7.27872e-02
7.03130e+00 2.67740e-01 7.91044e-03
7.81250e+00 8.09997e-02 -1.44871e-01
8.59380e+00 1.26301e-01 1.47139e-02
9.37500e+00 1.03042e-02 1.04992e-01
1.01560e+01 3.87005e-01 7.39447e-02
1.09380e+01 3.07057e-01 3.31458e-02
1.17190e+01 3.03386e-01 -2.40572e-02
1.25000e+01 3.37529e-01 -8.94033e-02
1.32810e+01 9.56877e-02 -7.72991e-02
1.40630e+01 1.61419e-01 -2.34291e-02
1.48440e+01 1.75494e-01 1.50331e-03
1.56250e+01 1.89617e-01 1.64155e-03
1.64060e+01 1.98172e-01 3.57295e-03
1.71880e+01 2.03729e-01 -2.54706e-03
1.79690e+01 2.03438e-01 -5.34481e-03
1.87500e+01 2.09902e-01 -2.17954e-03
1.95310e+01 2.18962e-01 -4.56096e-03
2.03130e+01 2.20510e-01 -6.97084e-03
2.10940e+01 1.80203e-01 -3.07176e-02
2.18750e+01 1.82617e-01 -6.48831e-03
2.26560e+01 1.92315e-01 1.09439e-03
2.34380e+01 1.93996e-01 -2.25326e-03
2.42190e+01 1.93061e-01 -3.24169e-03
2.50000e+01 1.96469e-01 2.65548e-03
2.57810e+01 1.94280e-01 2.50946e-03
2.65630e+01 1.96880e-01 8.72703e-04
2.73440e+01 1.93908e-01 5.19446e-04
2.81250e+01 1.95875e-01 -1.51217e-04
2.89060e+01 1.99699e-01 -3.09127e-03
2.96880e+01 1.97251e-01 5.30422e-03
3.04690e+01 2.00626e-01 4.71164e-03
3.12500e+01 1.90169e-01 1.43634e-02
3.20310e+01 2.01157e-01 7.04713e-03
3.28130e+01 2.03387e-01 7.41271e-03
3.35940e+01 2.07802e-01 1.14103e-03
3.43750e+01 1.95582e-01 7.33956e-03
3.51560e+01 2.04385e-01 2.43169e-03
3.59380e+01 2.01118e-01 1.86781e-03
3.67190e+01 2.04005e-01 2.81147e-03
3.75000e+01 2.03172e-01 2.46644e-03
3.82810e+01 2.02213e-01 -4.95111e-03
3.90630e+01 2.04877e-01 -3.97444e-04
3.98440e+01 2.03933e-01 -2.76814e-03
4.06250e+01 2.01930e-01 2.23854e-04
4.14060e+01 2.04742e-01 7.84205e-05
4.21880e+01 2.01345e-01 6.63498e-04
4.29690e+01 1.99681e-01 1.45251e-03
4.37500e+01 1.98350e-01 -4.25934e-03
4.45310e+01 1.98545e-01 1.32676e-03
4.53130e+01 2.00166e-01 1.22046e-03
4.60940e+01 1.99769e-01 8.40831e-04
4.68750e+01 1.97357e-01 2.68201e-03
4.76560e+01 2.01316e-01 4.56138e-04
4.84380e+01 2.04474e-01 2.93412e-03
4.92190e+01 2.01352e-01 3.24305e-03
5.00000e+01 1.63073e-01 4.60054e-02
5.07810e+01 2.04736e-01 -4.09875e-03
5.15630e+01 2.01444e-01 2.39992e-04
5.23440e+01 2.00216e-01 -4.03662e-03
5.31250e+01 1.96072e-01 -1.87747e-03
5.39060e+01 1.97717e-01 -3.78528e-03
5.46880e+01 2.05111e-01 1.99686e-03
5.54690e+01 1.95952e-01 -2.18296e-03
5.62500e+01 2.01692e-01 -2.78764e-04
5.70310e+01 2.01479e-01 -9.88927e-04
5.78130e+01 1.99397e-01 1.77961e-03
5.85940e+01 2.04095e-01 8.52460e-04
5.93750e+01 1.98179e-01 2.42325e-03
6.01560e+01 1.94608e-01 -7.83465e-04
6.09380e+01 2.07430e-01 1.16363e-03
6.17190e+01 2.02502e-01 5.90628e-03
6.25000e+01 2.03043e-01 4.08851e-03
6.32810e+01 2.02999e-01 1.41361e-03
6.40630e+01 2.01310e-01 8.00138e-03
6.48440e+01 2.05487e-01 -1.45249e-03
6.56250e+01 2.04891e-01 -1.72772e-03
6.64060e+01 2.02345e-01 2.11327e-03
6.71880e+01 2.06483e-01 -2.68603e-05
6.79690e+01 2.04832e-01 -1.12923e-03
6.87500e+01 2.02989e-01 3.59585e-03
6.95310e+01 2.00795e-01 -2.81445e-04
7.03130e+01 2.00889e-01 5.85269e-04
7.10940e+01 2.02292e-01 1.39436e-03
7.18750e+01 2.04053e-01 6.18047e-03
7.26560e+01 2.04912e-01 8.72740e-04
7.34380e+01 2.01968e-01 -2.21010e-03
7.42190e+01 2.07860e-01 7.88997e-05
7.50000e+01 2.05774e-01 1.44126e-03
7.57810e+01 2.07469e-01 1.40592e-03
7.65630e+01 2.03277e-01 -2.14834e-03
7.73440e+01 2.05365e-01 7.41505e-04
7.81250e+01 1.97005e-01 1.22882e-03
7.89060e+01 2.01637e-01 8.08385e-04
7.96880e+01 1.98215e-01 -2.71457e-03
8.04690e+01 2.00696e-01 -1.22404e-03
8.12500e+01 1.98121e-01 3.36110e-03
8.20310e+01 2.00910e-01 6.88377e-04
8.28130e+01 2.01265e-01 -2.05906e-03
8.35940e+01 2.02364e-01 -1.86531e-03
8.43750e+01 2.03629e-01 2.08109e-03
8.51560e+01 2.03068e-01 -9.84260e-04
8.59380e+01 2.03005e-01 2.32092e-04
8.67190e+01 2.03523e-01 1.66392e-03
8.75000e+01 2.01289e-01 3.66625e-03
8.82810e+01 2.01806e-01 9.78750e-05
