# Measured transfer FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
0.00000e+00 9.42070e+01 0.00000e+00
7.81250e-01 -6.18922e+00 6.77332e+00
1.56250e+00 -3.02342e+00 2.38519e+00
2.34380e+00 4.63537e-01 -1.02243e+00
3.12500e+00 1.77943e-01 6.38654e-01
3.90630e+00 2.64279e-01 2.65584e-02
4.68750e+00 8.30979e-02 -1.19326e-01
5.46880e+00 3.69248e-01 5.10502e-02
6.25000e+00 -3.91889e-02 3.30908e-01
7.03130e+00 2.42202e-01 -3.39329e-01
7.81250e+00 1.13118e-01 2.02126e-02
8.59380e+00 1.18273e-01 1.07221e-01
9.37500e+00 -1.15333e-01 -3.76076e-02
1.01560e+01 8.57707e-01 3.52506e-01
1.09380e+01 5.18214e-01 -1.84803e-01
1.17190e+01 8.74028e-01 7.61617e-02
1.25000e+01 5.09919e-01 -7.38645e-01
1.32810e+01 -1.51471e-01 -1.63459e-01
1.40630e+01 8.38239e-02 -3.40800e-02
1.48440e+01 1.04731e-01 -9.02164e-02
1.56250e+01 1.37343e-01 -2.18838e-03
1.64060e+01 1.55496e-01 -1.71598e-02
1.71880e+01 1.62953e-01 -5.01880e-03
1.79690e+01 1.91849e-01 -3.76567e-02
1.87500e+01 1.25896e-01 1.53657e-02
1.95310e+01 2.27945e-01 5.86583e-03
2.03130e+01 3.54166e-02 -1.35860e-01
2.10940e+01 1.96383e-01 -4.48983e-02
2.18750e+01 1.40823e-01 1.56544e-02
2.26560e+01 1.98477e-01 -1.64779e-02
2.34380e+01 1.75854e-01 8.30322e-03
2.42190e+01 1.87223e-01 -2.10275e-02
2.50000e+01 2.03316e-01 -3.22017e-02
2.57810e+01 1.56436e-01 6.48330e-03
2.65630e+01 1.48711e-01 1.24296e-02
2.73440e+01 1.46441e-01 2.35365e-02
2.81250e+01 1.80898e-01 4.53244e-02
2.89060e+01 2.03398e-01 -2.50909e-02
2.96880e+01 2.05858e-01 3.86256e-02
3.04690e+01 1.94759e-01 2.29830e-02
3.12500e+01 2.01493e-01 1.03683e-02
3.20310e+01 1.47448e-01 4.16234e-02
3.28130e+01 1.68907e-01 2.21270e-02
3.35940e+01 1.26909e-01 -3.24077e-03
3.43750e+01 1.35253e-01 1.09994e-02
3.51560e+01 2.09207e-01 -8.26985e-03
3.59380e+01 1.34647e-01 4.97674e-02
3.67190e+01 1.27376e-01 1.42593e-01
3.75000e+01 3.65081e-01 1.31790e-01
3.82810e+01 2.47046e-01 5.53481e-02
3.90630e+01 2.39849e-01 1.53556e-02
3.98440e+01 2.43780e-01 -4.39608e-03
4.06250e+01 1.98145e-01 -1.15221e-02
4.14060e+01 2.29875e-01 2.54544e-02
4.21880e+01 2.26748e-01 4.46877e-02
4.29690e+01 2.15918e-01 2.99875e-02
4.37500e+01 1.97647e-01 1.04641e-03
4.45310e+01 1.88919e-01 4.08251e-02
4.53130e+01 1.80666e-01 -8.58006e-03
4.60940e+01 1.68826e-01 -3.14456e-02
4.68750e+01 1.68435e-01 -2.69053e-02
4.76560e+01 2.15640e-01 -3.57627e-03
4.84380e+01 1.98136e-01 8.76688e-03
4.92190e+01 1.83135e-01 -4.08247e-02
5.00000e+01 2.17946e-01 9.88924e-03
5.07810e+01 1.86452e-01 -2.12548e-02
5.15630e+01 2.25080e-01 3.81514e-02
5.23440e+01 1.88527e-01 -1.92812e-02
5.31250e+01 1.94622e-01 -3.12838e-02
5.39060e+01 1.85135e-01 1.09799e-02
5.46880e+01 2.16858e-01 1.08619e-02
5.54690e+01 1.80602e-01 1.30037e-02
5.62500e+01 2.00587e-01 -2.28178e-03
5.70310e+01 2.23321e-01 -4.16477e-03
5.78130e+01 1.88485e-01 3.50153e-02
5.85940e+01 2.03100e-01 -1.32303e-02
5.93750e+01 2.21446e-01 -2.64494e-02
6.01560e+01 1.91909e-01 -2.01125e-02
6.09380e+01 1.96402e-01 6.19484e-03
6.17190e+01 2.26378e-01 -1.52368e-02
6.25000e+01 2.14318e-01 -2.23443e-03
6.32810e+01 1.81803e-01 -1.67185e-02
6.40630e+01 1.91192e-01 1.12069e-02
6.48440e+01 2.16009e-01 6.28006e-03
6.56250e+01 2.05402e-01 -7.78737e-03
6.64060e+01 2.07008e-01 -8.45144e-03
6.71880e+01 2.07135e-01 1.37893e-03
6.79690e+01 2.22811e-01 1.71545e-02
6.87500e+01 2.05656e-01 -1.42662e-02
6.95310e+01 2.23830e-01 8.71841e-03
7.03130e+01 1.89691e-01 1.45703e-02
7.10940e+01 2.18837e-01 -1.48394e-02
7.18750e+01 2.09605e-01 5.21964e-03
7.26560e+01 2.09576e-01 9.24704e-03
7.34380e+01 2.06115e-01 6.88076e-03
7.42190e+01 1.88635e-01 -6.86979e-03
7.50000e+01 2.08572e-01 -1.82609e-02
7.57810e+01 1.99819e-01 1.53857e-02
7.65630e+01 2.09063e-01 -1.68533e-03
7.73440e+01 2.16664e-01 1.63617e-03
7.81250e+01 1.86670e-01 -2.11093e-02
7.89060e+01 2.00281e-01 -1.07721e-02
